n,t,x,y
2,55,392,254
2,56,392,254
2,57,375,260
2,58,369,257
2,59,362,262
2,60,342,258
2,61,333,256
2,62,324,256
2,63,331,261
2,64,323,261
2,65,315,262
2,66,305,261
2,67,294,259
2,68,283,257
2,69,282,254
2,70,259,251
2,71,252,248
2,72,241,245
2,73,234,243
2,74,206,241
2,75,192,241
2,76,181,241
2,77,171,243
2,78,157,245
2,79,144,250
2,80,133,254
2,81,123,258
2,82,115,264
2,83,106,270
2,84,101,276
2,85,95,284
2,86,88,292
2,87,83,301
2,88,77,314
2,89,75,324
2,90,73,334
2,91,69,345
2,92,66,356
2,93,62,368
2,94,59,382
2,95,59,394
2,96,64,409
2,97,67,424
2,98,70,437
2,99,71,451
2,100,72,464
2,101,74,476
2,102,80,487
2,103,84,495
2,104,90,504
2,105,96,512
2,106,103,520
2,107,109,526
2,108,116,530
2,109,124,534
2,110,132,538
2,111,142,540
2,112,151,542
2,113,159,543
2,114,168,543
2,115,176,541
2,116,184,539
2,117,192,535
2,118,201,531
2,119,209,526
2,120,217,519
2,121,226,512
2,122,235,505
2,123,243,497
2,124,252,490
2,125,259,483
2,126,270,475
2,127,279,469
2,128,290,463
2,129,301,458
2,130,311,455
2,131,321,452
2,132,331,450
2,133,341,450
2,134,351,450
2,135,361,451
2,136,370,453
2,137,380,455
2,138,391,458
2,139,402,463
2,140,412,468
2,141,423,474
2,142,434,482
2,143,447,490
2,144,459,498
2,145,473,506
2,146,486,515
2,147,499,522
2,148,513,528
2,149,526,533
2,150,540,538
2,151,556,542
2,152,570,545
2,153,586,548
2,154,603,550
2,155,621,552
2,156,639,554
2,157,658,555
2,158,677,556
2,159,697,558
2,160,717,560
2,161,737,563
2,162,758,567
2,163,778,571
2,164,799,576
2,165,820,582
2,166,841,588
2,167,861,594
2,168,881,600
2,169,901,605
2,170,921,610
2,171,941,615
2,172,961,618
2,173,979,621
2,174,997,623
2,175,1015,624
2,176,1031,625
2,177,1047,625
2,178,1061,624
2,179,1075,623
2,180,1088,622
2,181,1099,620
2,182,1110,617
2,183,1120,614
2,184,1128,610
2,185,1134,605
2,186,1140,600
2,187,1145,595
2,188,1148,589
2,189,1150,583
2,190,1152,576
2,191,1152,568
2,192,1151,559
2,193,1150,550
2,194,1149,539
2,195,1147,529
2,196,1145,519
2,197,1143,508
2,198,1140,498
2,199,1136,488
2,200,1132,479
2,201,1127,471
2,202,1121,462
2,203,1114,454
2,204,1107,446
2,205,1099,438
2,206,1089,429
2,207,1079,422
2,208,1069,414
2,209,1057,407
2,210,1045,400
2,211,1032,394
2,212,1018,389
2,213,1004,386
2,214,989,382
2,215,974,380
2,216,959,378
2,217,942,376
2,218,924,374
2,219,906,373
2,220,889,370
2,221,870,368
2,222,852,364
2,223,835,359
2,224,819,354
2,225,802,348
2,226,787,342
2,227,772,335
2,228,758,329
2,229,747,332
2,230,741,337
2,231,734,341
2,232,727,346
2,233,720,350
2,234,712,353
2,235,705,355
2,236,698,357
2,237,692,360
2,238,690,363
2,239,687,365
2,240,686,368
2,241,684,369
2,242,681,371
2,243,679,373
2,244,677,373
2,245,674,374
2,246,672,376
2,247,669,377
2,248,665,379
2,249,659,380
2,250,653,380
2,251,647,382
2,252,639,383
2,253,633,383
2,254,626,382
2,255,621,380
2,256,616,378
2,257,612,376
2,258,608,372
2,259,607,370
2,260,607,369
2,261,607,368
2,262,606,367
2,263,606,367
2,264,606,366
2,265,606,365
2,266,606,365
2,267,606,365
2,268,606,365
2,269,605,365
2,270,605,365
2,271,605,365
2,272,605,365
2,273,605,365
2,274,605,365
2,275,605,365
2,276,605,365
2,277,605,365
2,278,605,365
2,279,606,365
2,280,606,365
2,281,606,365
2,282,606,365
2,283,606,365
2,284,606,365
2,285,606,365
2,286,606,365
2,287,605,365
2,288,605,365
2,289,605,365
2,290,605,365
2,291,605,365
2,292,605,365
2,293,605,365
2,294,605,365
2,295,605,365
2,296,605,365
2,297,605,365
2,298,605,365
2,299,605,365
2,300,605,365
2,301,605,365
2,302,605,365
2,303,606,365
2,304,606,365
2,305,606,365
2,306,605,365
2,307,605,365
2,308,606,365
2,309,606,365
2,310,606,365
2,311,606,365
2,312,606,365
2,313,606,365
2,314,606,365
2,315,606,365
2,316,606,365
2,317,606,365
2,318,606,365
2,319,606,365
2,320,606,367
2,321,607,368
2,322,608,369
2,323,608,371
2,324,609,373
2,325,610,376
2,326,611,378
2,327,611,380
2,328,611,380
2,329,612,380
2,330,613,377
2,331,614,375
2,332,615,370
2,333,615,365
2,334,617,358
2,335,619,351
2,336,620,343
2,337,622,333
2,338,624,323
2,339,626,312
2,340,628,299
2,341,630,286
2,342,632,272
2,343,635,258
2,344,639,242
2,345,645,225
2,346,649,209
2,347,655,194
2,348,662,180
2,349,670,165
2,350,678,153
2,351,687,142
2,352,696,131
2,353,705,122
2,354,716,115
2,355,728,108
2,356,739,100
2,357,752,95
2,358,765,90
2,359,777,86
2,360,791,84
2,361,805,81
2,362,820,80
2,363,835,80
2,364,851,81
2,365,867,83
2,366,882,85
2,367,896,89
2,368,909,94
2,369,923,100
2,370,936,106
2,371,948,114
2,372,961,123
2,373,972,131
2,374,982,140
2,375,992,150
2,376,1001,159
2,377,1011,168
2,378,1020,177
2,379,1031,184
2,380,1041,190
2,381,1051,195
2,382,1060,199
2,383,1070,203
2,384,1079,205
2,385,1087,207
2,386,1095,207
2,387,1103,207
2,388,1110,205
2,389,1119,203
2,390,1127,198
2,391,1136,193
2,392,1144,187
2,393,1152,180
2,394,1160,171
2,395,1170,161
2,396,1179,152
2,397,1190,143
2,398,1202,133
2,399,1214,125
2,400,1226,117
2,401,1238,112
2,402,1250,107
2,403,1260,102
2,404,1267,98
2,405,1274,94
3,21,11,80
3,22,21,75
3,23,37,73
3,24,58,69
3,25,81,67
3,26,104,65
3,27,124,64
3,28,149,64
3,29,174,66
3,30,198,70
3,31,219,69
3,32,239,71
3,33,259,74
3,34,276,77
3,35,294,80
3,36,307,84
3,37,323,88
3,38,336,94
3,39,349,100
3,40,361,106
3,41,368,114
3,42,376,121
3,43,382,130
3,44,388,138
3,45,390,145
3,46,393,153
3,47,395,161
3,48,394,170
3,49,390,179
3,50,386,187
3,51,379,195
3,52,374,203
3,53,368,210
3,54,361,217
3,55,369,241
3,56,361,244
3,57,361,244
3,58,361,244
3,59,361,244
3,60,361,244
3,61,361,244
4,57,331,231
4,58,314,235
4,59,307,237
4,60,284,239
4,61,269,240
4,62,253,241
4,63,248,242
4,64,238,243
4,65,220,244
4,66,206,244
4,67,194,246
4,68,181,249
4,69,169,252
4,70,159,257
4,71,145,262
4,72,134,269
4,73,124,277
4,74,115,285
4,75,108,295
4,76,102,306
4,77,99,319
4,78,96,331
4,79,90,344
4,80,86,357
4,81,86,371
4,82,85,385
4,83,86,400
4,84,87,414
4,85,91,429
4,86,94,442
4,87,97,454
4,88,99,467
4,89,102,475
4,90,107,484
4,91,114,493
4,92,121,502
4,93,127,506
4,94,136,511
4,95,144,514
4,96,153,516
4,97,161,517
4,98,169,517
4,99,179,516
4,100,189,514
4,101,199,511
4,102,209,506
4,103,219,500
4,104,230,493
4,105,243,485
4,106,254,480
4,107,264,471
4,108,275,467
4,109,284,459
4,110,292,456
4,111,306,450
4,112,316,450
4,113,327,445
4,114,338,445
4,115,348,445
4,116,356,445
4,117,365,448
4,118,373,452
4,119,383,457
4,120,389,462
4,121,402,469
4,122,411,476
4,123,423,484
4,124,433,491
4,125,445,498
4,126,457,503
4,127,470,508
4,128,483,512
4,129,498,515
4,130,512,517
4,131,527,518
4,132,544,520
4,133,561,521
4,134,578,520
4,135,595,520
4,136,614,519
4,137,635,518
4,138,655,516
4,139,676,516
4,140,701,516
4,141,722,516
4,142,746,517
4,143,767,519
4,144,791,522
4,145,813,526
4,146,834,530
4,147,856,536
4,148,878,543
4,149,900,551
4,150,921,558
4,151,943,566
4,152,964,572
4,153,986,578
4,154,1006,583
4,155,1025,588
4,156,1044,592
4,157,1061,595
4,158,1077,597
4,159,1094,598
4,160,1109,598
4,161,1124,596
4,162,1138,594
4,163,1148,590
4,164,1159,586
4,165,1168,580
4,166,1175,574
4,167,1182,568
4,168,1186,561
4,169,1190,553
4,170,1192,545
4,171,1194,536
4,172,1194,526
4,173,1194,516
4,174,1193,506
4,175,1190,495
4,176,1187,483
4,177,1182,472
4,178,1176,461
4,179,1170,450
4,180,1162,441
4,181,1154,433
4,182,1146,425
4,183,1137,419
4,184,1126,414
4,185,1116,409
4,186,1104,404
4,187,1091,401
4,188,1077,399
4,189,1064,398
4,190,1050,397
4,191,1035,397
4,192,1019,398
4,193,1000,399
4,194,982,401
4,195,962,403
4,196,944,405
4,197,924,406
4,198,903,405
4,199,883,404
4,200,863,402
4,201,844,399
4,202,827,395
4,203,809,391
4,204,792,385
4,205,775,379
4,206,759,372
4,207,744,363
4,208,729,354
4,209,717,344
4,210,705,333
4,211,694,322
4,212,685,309
4,213,677,297
4,214,673,285
4,215,666,273
4,216,661,259
4,217,660,246
4,218,659,233
4,219,659,221
4,220,661,209
4,221,666,198
4,222,669,187
4,223,674,175
4,224,682,164
4,225,687,152
4,226,696,142
4,227,707,133
4,228,720,123
4,229,730,116
4,230,743,108
4,231,758,100
4,232,774,95
4,233,790,89
4,234,807,85
4,235,824,83
4,236,840,81
4,237,855,80
4,238,869,79
4,239,883,80
4,240,897,81
4,241,909,83
4,242,920,86
4,243,931,91
4,244,942,96
4,245,950,102
4,246,959,109
4,247,968,116
4,248,976,125
4,249,984,134
4,250,992,144
4,251,1002,156
4,252,1011,167
4,253,1020,176
4,254,1029,184
4,255,1039,193
4,256,1050,199
4,257,1059,204
4,258,1068,208
4,259,1077,211
4,260,1087,212
4,261,1095,214
4,262,1103,213
4,263,1111,211
4,264,1119,207
4,265,1125,202
4,266,1132,197
4,267,1137,191
4,268,1143,182
4,269,1147,173
4,270,1151,162
4,271,1157,153
4,272,1164,143
4,273,1171,137
4,274,1179,128
4,275,1188,122
4,276,1195,116
4,277,1205,111
4,278,1215,104
4,279,1226,100
4,280,1239,95
4,281,1253,92
4,282,1263,88
4,283,1270,85
5,92,8,108
5,93,19,98
5,94,31,87
5,95,40,76
5,96,53,71
5,97,72,68
5,98,95,65
5,99,119,64
5,100,141,65
5,101,164,64
5,102,194,68
5,103,216,71
5,104,231,73
5,105,251,73
5,106,266,76
5,107,276,77
5,108,295,80
5,109,316,85
5,110,326,89
5,111,337,94
5,112,347,100
5,113,351,104
5,114,356,109
5,115,360,116
5,116,362,120
5,117,364,124
5,118,366,130
5,119,367,135
5,120,367,139
5,121,368,143
5,122,363,148
5,123,362,154
5,124,358,160
5,125,354,165
5,126,348,168
5,127,348,164
5,128,344,149
6,106,14,98
6,107,23,89
6,108,33,80
6,109,45,76
6,110,69,74
6,111,97,74
6,112,121,75
6,113,144,76
6,114,169,78
6,115,189,80
6,116,211,82
6,117,227,85
6,118,239,86
6,119,254,88
6,120,268,88
6,121,278,87
6,122,288,86
6,123,300,79
6,124,312,82
6,125,323,87
6,126,335,94
6,127,344,102
6,128,354,110
6,129,363,120
6,130,369,126
6,131,376,132
6,132,378,139
6,133,383,146
6,134,383,155
6,135,384,164
6,136,381,172
6,137,380,179
6,138,378,186
6,139,375,193
6,140,370,198
6,141,365,205
6,142,358,212
6,143,350,218
6,144,339,223
6,145,332,228
6,146,319,232
6,147,306,236
6,148,296,240
6,149,288,243
6,150,272,243
6,151,261,244
6,152,247,246
6,153,236,245
6,154,215,248
6,155,203,251
6,156,191,255
6,157,181,259
6,158,169,265
6,159,157,270
6,160,145,277
6,161,134,287
6,162,126,295
6,163,114,306
6,164,101,317
6,165,94,328
6,166,88,338
6,167,82,351
6,168,77,362
6,169,73,375
6,170,67,389
6,171,71,417
6,172,80,435
6,173,83,450
6,174,87,465
6,175,97,478
6,176,102,489
6,177,104,496
6,178,106,500
6,179,107,506
6,180,110,510
6,181,114,516
6,182,119,519
6,183,123,523
6,184,128,525
6,185,133,527
6,186,136,530
6,187,143,532
6,188,149,533
6,189,157,533
6,190,160,531
6,191,167,528
6,192,176,524
6,193,183,519
6,194,191,513
6,195,199,504
6,196,208,498
6,197,213,488
6,198,225,480
6,199,232,475
6,200,234,464
6,201,242,457
6,202,242,457
6,203,242,457
6,204,242,457
6,205,242,457
7,128,343,184
7,129,326,190
7,130,316,197
7,131,304,203
7,132,292,209
7,133,280,214
7,134,267,218
7,135,255,224
7,136,240,229
7,137,226,235
7,138,209,241
7,139,194,247
7,140,172,258
7,141,159,266
7,142,144,275
7,143,129,288
7,144,116,299
7,145,106,311
7,146,97,323
7,147,86,335
7,148,78,348
7,149,71,359
7,150,64,373
7,151,60,385
7,152,63,403
7,153,62,415
7,154,65,427
7,155,70,441
7,156,74,454
7,157,80,465
7,158,91,481
7,159,100,491
7,160,107,501
7,161,112,506
7,162,119,512
7,163,127,517
7,164,129,522
7,165,134,526
7,166,143,528
7,167,153,530
7,168,164,531
7,169,173,531
7,170,181,529
7,171,187,522
7,172,194,519
7,173,205,512
7,174,215,505
7,175,221,500
7,176,233,493
7,177,243,487
7,178,252,478
7,179,260,474
7,180,273,468
7,181,284,462
7,182,298,458
7,183,309,455
7,184,328,460
7,185,340,461
7,186,348,463
7,187,358,464
7,188,369,467
7,189,378,469
7,190,387,475
7,191,402,481
7,192,419,487
7,193,431,494
7,194,446,500
7,195,463,507
7,196,477,517
7,197,491,523
7,198,507,529
7,199,526,535
7,200,544,540
7,201,561,544
7,202,583,552
7,203,604,557
7,204,631,562
7,205,654,566
7,206,674,573
7,207,702,577
7,208,723,578
7,209,744,579
7,210,766,580
7,211,795,582
7,212,820,584
7,213,844,588
7,214,867,589
7,215,886,593
7,216,901,596
7,217,922,601
7,218,940,607
7,219,957,611
7,220,974,615
7,221,990,619
7,222,1010,625
7,223,1028,625
7,224,1043,625
7,225,1057,624
7,226,1076,621
7,227,1091,617
7,228,1104,617
7,229,1117,616
7,230,1129,610
7,231,1140,607
7,232,1149,603
7,233,1156,597
7,234,1162,593
7,235,1168,590
7,236,1172,584
7,237,1175,578
7,238,1177,572
7,239,1179,560
7,240,1179,551
7,241,1178,544
7,242,1176,534
7,243,1175,521
7,244,1171,510
7,245,1168,499
7,246,1163,485
7,247,1158,477
7,248,1152,467
7,249,1143,458
7,250,1134,449
7,251,1123,441
7,252,1114,433
7,253,1101,424
7,254,1087,418
7,255,1076,412
7,256,1062,406
7,257,1048,402
7,258,1033,397
7,259,1018,393
7,260,997,391
7,261,982,389
7,262,965,388
7,263,947,389
7,264,929,389
7,265,910,391
7,266,892,391
7,267,872,390
7,268,857,389
7,269,839,386
7,270,827,385
7,271,812,380
7,272,794,371
7,273,779,363
7,274,764,358
7,275,750,352
7,276,736,346
7,277,725,337
7,278,714,330
7,279,706,322
7,280,696,308
7,281,689,299
7,282,685,289
7,283,683,280
7,284,679,272
7,285,679,263
7,286,677,250
7,287,678,239
7,288,680,228
7,289,683,217
7,290,687,205
7,291,690,192
7,292,696,178
7,293,702,164
7,294,709,147
7,295,717,135
7,296,725,124
7,297,739,114
7,298,751,110
7,299,758,103
7,300,772,96
7,301,783,94
7,302,795,92
7,303,802,91
7,304,816,91
7,305,824,93
7,306,839,92
7,307,853,92
7,308,864,91
7,309,879,93
7,310,894,99
7,311,911,104
7,312,930,109
7,313,946,118
7,314,958,125
7,315,969,134
7,316,979,142
7,317,988,150
7,318,997,160
7,319,1011,171
7,320,1024,181
7,321,1037,192
7,322,1046,202
7,323,1054,208
7,324,1065,214
7,325,1076,217
7,326,1085,218
7,327,1095,219
7,328,1103,219
7,329,1112,219
7,330,1120,221
7,331,1129,221
7,332,1138,220
7,333,1147,216
7,334,1160,213
7,335,1167,208
7,336,1174,202
7,337,1182,195
7,338,1189,187
7,339,1197,177
7,340,1206,167
7,341,1213,157
7,342,1226,148
7,343,1233,140
7,344,1243,132
7,345,1252,126
7,346,1258,121
7,347,1264,115
7,348,1270,110
8,178,16,86
8,179,29,77
8,180,52,72
9,185,168,66
9,186,186,66
9,187,204,67
9,188,225,71
9,189,246,75
9,190,264,78
9,191,279,83
9,192,295,88
9,193,311,96
9,194,325,103
9,195,337,111
9,196,349,119
9,197,357,126
9,198,363,133
9,199,368,141
9,200,373,149
9,201,376,158
9,202,377,166
9,203,378,174
9,204,375,180
9,205,372,187
9,206,367,193
9,207,363,199
9,208,356,206
9,209,347,211
9,210,339,214
9,211,334,217
9,212,324,220
9,213,312,222
9,214,283,221
9,215,272,220
9,216,284,230
9,217,269,233
9,218,256,236
9,219,256,236
9,220,256,236
9,221,256,236
9,222,256,236
10,200,272,453
10,201,287,445
10,202,269,451
10,203,281,448
10,204,295,443
10,205,308,443
10,206,319,443
10,207,332,445
10,208,340,447
10,209,352,450
10,210,361,453
10,211,369,458
10,212,378,461
10,213,388,465
10,214,398,470
10,215,414,480
10,216,429,490
10,217,445,498
10,218,464,509
10,219,484,519
10,220,501,524
10,221,516,530
10,222,527,536
10,223,537,539
10,224,556,544
10,225,571,548
10,226,586,552
10,227,601,556
10,228,620,560
10,229,640,563
10,230,658,567
10,231,681,569
10,232,703,569
10,233,730,572
10,234,750,574
10,235,775,577
10,236,804,581
10,237,830,588
10,238,852,590
10,239,873,593
10,240,889,595
10,241,913,601
10,242,936,606
10,243,956,607
10,244,975,608
10,245,994,607
10,246,1012,609
10,247,1028,610
10,248,1044,612
10,249,1059,613
10,250,1072,613
10,251,1082,614
10,252,1095,616
10,253,1109,614
10,254,1120,611
10,255,1132,608
10,256,1143,605
10,257,1153,601
10,258,1160,598
10,259,1167,593
10,260,1173,588
10,261,1176,581
10,262,1181,574
10,263,1183,565
10,264,1185,556
10,265,1185,547
10,266,1185,537
10,267,1184,527
10,268,1182,516
10,269,1178,504
10,270,1173,485
10,271,1167,476
10,272,1161,467
10,273,1150,454
10,274,1145,448
10,275,1134,437
10,276,1126,431
10,277,1115,426
10,278,1105,421
10,279,1090,414
10,280,1081,409
10,281,1068,403
10,282,1056,398
10,283,1044,393
10,284,1029,391
10,285,1017,387
10,286,1002,385
10,287,985,384
10,288,968,383
10,289,950,383
10,290,935,383
10,291,913,382
10,292,894,382
10,293,866,380
10,294,843,374
10,295,826,373
10,296,807,364
10,297,788,357
10,298,773,346
10,299,759,345
10,300,743,341
10,301,728,332
10,302,712,326
10,303,701,318
10,304,690,320
10,305,678,303
10,306,673,296
10,307,666,282
10,308,660,275
10,309,647,265
10,310,642,257
10,311,639,246
10,312,637,235
10,313,635,223
10,314,633,213
10,315,635,204
10,316,635,194
10,317,639,184
10,318,640,176
10,319,646,169
10,320,667,161
10,321,675,155
10,322,682,147
10,323,692,137
10,324,703,131
10,325,715,123
10,326,731,117
10,327,743,114
10,328,760,107
10,329,779,104
10,330,801,102
10,331,823,105
10,332,843,103
10,333,858,105
10,334,877,109
10,335,892,112
10,336,905,116
10,337,916,119
10,338,926,122
10,339,934,127
10,340,945,139
10,341,958,146
10,342,970,154
10,343,984,161
10,344,1003,173
10,345,1019,182
10,346,1031,188
10,347,1038,191
10,348,1047,195
10,349,1054,196
10,350,1061,198
10,351,1069,199
10,352,1079,200
10,353,1077,200
10,354,1091,203
10,355,1105,204
10,356,1118,205
10,357,1131,204
10,358,1142,203
10,359,1153,200
10,360,1164,197
10,361,1175,192
10,362,1186,186
10,363,1197,180
10,364,1207,173
10,365,1217,165
10,366,1228,158
10,367,1238,150
10,368,1249,142
10,369,1260,137
10,370,1265,131
10,371,1272,129
11,208,10,64
11,209,18,54
11,210,27,50
11,211,37,47
11,212,63,47
11,213,87,47
11,214,112,45
11,215,134,42
11,216,154,43
11,217,171,43
11,218,194,46
11,219,217,49
11,220,238,54
11,221,259,57
11,222,276,62
11,223,288,65
11,224,308,68
11,225,316,74
11,226,327,78
11,227,346,88
11,228,356,96
11,229,364,103
11,230,370,110
11,231,382,117
11,232,387,124
11,233,393,131
11,234,398,139
11,235,401,146
11,236,400,152
11,237,399,158
11,238,387,163
11,239,384,167
11,240,380,173
11,241,376,177
11,242,370,183
11,243,374,187
11,244,366,193
11,245,356,200
11,246,347,205
11,247,338,211
11,248,338,220
11,249,326,227
11,250,326,227
11,251,326,227
11,252,326,227
11,253,326,227
12,215,303,227
12,216,303,227
12,217,303,227
12,218,303,227
12,219,303,227
12,220,303,227
13,216,256,221
13,217,242,222
13,218,229,226
13,219,230,234
13,220,214,240
13,221,197,247
13,222,178,256
13,223,167,265
13,224,148,274
13,225,136,285
13,226,124,303
13,227,116,316
13,228,109,327
13,229,101,342
13,230,91,354
13,231,85,368
13,232,80,381
13,233,79,394
13,234,77,409
13,235,76,423
13,236,75,434
13,237,74,445
13,238,73,456
13,239,68,466
13,240,71,475
13,241,78,484
13,242,86,493
13,243,96,502
13,244,103,506
13,245,112,512
13,246,121,516
13,247,130,518
13,248,138,519
13,249,144,517
13,250,154,515
13,251,162,512
13,252,170,508
13,253,177,501
13,254,186,492
13,255,197,488
13,256,208,479
13,257,220,475
13,258,236,468
13,259,246,461
13,260,260,457
13,261,270,452
13,262,281,449
13,263,294,445
13,264,307,445
13,265,324,447
13,266,344,451
13,267,355,454
13,268,369,456
13,269,379,460
13,270,393,465
13,271,407,472
13,272,421,480
13,273,433,486
13,274,452,495
13,275,465,503
13,276,484,511
13,277,502,518
13,278,520,524
13,279,540,531
13,280,563,535
13,281,581,538
13,282,602,541
13,283,626,543
13,284,651,545
13,285,673,546
13,286,695,547
13,287,721,547
13,288,744,547
13,289,765,545
13,290,765,545
13,291,815,551
13,292,839,554
13,293,862,558
13,294,883,563
13,295,907,570
13,296,929,576
13,297,950,583
13,298,972,589
13,299,992,594
13,300,1014,599
13,301,1033,602
13,302,1051,604
13,303,1071,607
13,304,1088,607
13,305,1105,608
13,306,1121,606
13,307,1138,605
13,308,1151,601
13,309,1162,599
13,310,1173,595
13,311,1183,591
13,312,1190,585
13,313,1196,581
13,314,1201,575
13,315,1206,567
13,316,1207,559
13,317,1208,550
13,318,1208,542
13,319,1206,533
13,320,1204,524
13,321,1199,514
13,322,1195,505
13,323,1187,496
13,324,1180,486
13,325,1172,476
13,326,1163,467
13,327,1154,460
13,328,1139,450
13,329,1129,442
13,330,1115,435
13,331,1103,428
13,332,1084,425
13,333,1069,421
13,334,1056,419
13,335,1042,417
13,336,1022,417
13,337,1005,418
13,338,989,420
13,339,971,422
13,340,951,423
13,341,935,426
13,342,901,424
13,343,882,422
13,344,863,423
13,345,843,421
13,346,823,416
13,347,819,413
13,348,805,406
13,349,783,400
13,350,768,391
13,351,751,385
13,352,737,378
13,353,726,369
13,354,712,356
13,355,702,346
13,356,692,335
13,357,684,322
13,358,676,308
13,359,669,294
13,360,662,279
13,361,655,263
13,362,651,247
13,363,649,228
13,364,643,214
13,365,643,197
13,366,643,184
13,367,643,171
13,368,645,162
13,369,654,153
13,370,663,145
13,371,666,137
13,372,672,131
13,373,671,114
13,374,682,106
13,375,695,100
14,238,415,159
14,239,413,164
14,240,410,170
15,248,309,217
15,249,298,222
15,250,299,227
15,251,282,234
15,252,268,240
15,253,256,245
15,254,242,249
15,255,237,253
15,256,223,250
15,257,214,250
15,258,202,249
15,259,185,246
15,260,170,245
15,261,150,238
15,262,145,235
15,263,131,232
15,264,105,234
15,265,89,233
15,266,75,236
15,267,51,237
15,268,42,234
15,269,36,234
15,270,26,237
15,271,19,249
15,272,18,249
15,273,20,249
15,274,21,248
15,275,21,249
15,276,25,256
15,277,27,261
15,278,28,266
15,279,31,274
15,280,32,281
15,281,38,291
15,282,41,301
15,283,48,314
15,284,53,326
15,285,59,340
15,286,62,350
15,287,66,367
15,288,73,382
15,289,75,396
15,290,76,409
15,291,79,424
15,292,82,437
15,293,84,452
15,294,82,468
15,295,87,482
15,296,90,491
15,297,91,499
15,298,95,510
15,299,105,519
15,300,111,527
15,301,114,532
15,302,120,535
15,303,127,540
15,304,134,543
15,305,142,546
15,306,147,547
15,307,155,547
15,308,161,546
15,309,169,543
15,310,179,540
15,311,185,536
15,312,191,529
15,313,200,523
15,314,208,515
15,315,217,505
15,316,229,497
15,317,242,490
15,318,259,480
15,319,269,473
15,320,282,465
15,321,294,459
15,322,308,453
15,323,319,450
15,324,331,448
15,325,338,448
15,326,350,448
15,327,365,448
15,328,378,449
15,329,392,453
15,330,403,458
15,331,414,463
15,332,426,468
15,333,434,475
15,334,448,483
15,335,458,492
15,336,470,500
15,337,480,508
15,338,493,517
15,339,505,523
15,340,515,528
15,341,525,531
15,342,538,535
15,343,554,540
15,344,569,543
15,345,581,544
15,346,595,546
15,347,610,546
15,348,625,546
15,349,641,545
15,350,657,543
15,351,677,540
15,352,697,538
15,353,716,535
15,354,739,534
15,355,756,534
15,356,773,533
15,357,790,535
15,358,809,537
15,359,832,544
15,360,850,547
15,361,867,549
15,362,891,555
15,363,911,561
15,364,929,568
15,365,946,574
15,366,963,579
15,367,979,584
15,368,997,588
15,369,1013,590
15,370,1026,591
15,371,1040,592
15,372,1052,597
15,373,1063,596
15,374,1073,595
15,375,1085,595
15,376,1096,593
15,377,1107,590
15,378,1118,586
15,379,1129,580
15,380,1139,574
15,381,1149,567
15,382,1158,558
15,383,1165,550
15,384,1173,541
15,385,1178,533
15,386,1183,524
15,387,1186,515
15,388,1188,508
15,389,1189,498
15,390,1189,487
15,391,1189,478
15,392,1190,466
15,393,1189,457
15,394,1189,449
15,395,1189,449
15,396,1186,438
15,397,1182,429
15,398,1169,416
15,399,1163,407
15,400,1155,398
15,401,1143,389
15,402,1143,389
15,403,1143,389
15,404,1143,389
15,405,1143,389
